Visa Rank	Employer	H1B LCA(2017-2019) (Denied, Withdrawn/Total)	Green Card LC(2017-2019)  (Denied, Withdrawn/Total)
3227	22705	Grey Wall Software Llc	0/5	0/2
3228	22705	Sv Systems Inc	1/7	-
3229	22705	Tier1, Inc.	0/4	0/3
3230	22705	Cac America Corporation	0/3	1/4
3231	22705	Vidscale, Inc.	0/4	0/3
3232	22705	Catalyst Repository Systems	0/5	1/2
3233	22705	Rosetta Stone Ltd.	0/6	0/1
3234	22705	Mdm Brickell Hotel Group, Ltd.	0/6	0/1
3235	22705	Redtail Technology	0/7	-
3236	22705	Sml Solutions, Inc	0/5	0/2
3237	22705	Imagetrend, Inc.	0/4	2/3
3238	22705	Ubiquiti, Inc.	0/7	-
3239	22705	3clogic, Inc.	1/6	0/1
3240	22705	Valve	-	0/7
3241	22705	Indus Valley Software,Inc	0/7	-
3242	22705	Vegas.Com, Llc	1/7	-
3243	22705	Konami Digital Entertainment, Inc.	0/4	0/3
3244	22705	Spiders Software Solutions Llc	1/4	1/3
3245	22705	Logic Rule, Inc.	1/7	-
3246	22705	Aumkaara, Inc.	0/6	0/1
3247	22705	Gp Consulting, Llc.	0/7	-
3248	22705	Premier Technologies, Inc.	0/7	-
3249	22705	Indusa Technical Corporation	0/7	-
3250	22705	Sunware Associates Inc.	0/6	0/1
3251	22705	Mastermind Educational Services Inc	0/6	0/1
3252	22705	Kw Itech, Inc.	1/5	0/2
3253	22705	Bangkok 54 Co.	-	1/7
3254	22705	Netcom Systems, Inc.	1/5	0/2
3255	22705	Ipswitch, Inc.	0/4	0/3
3256	22705	F&I Administration Solutions, Llc.	0/7	-
3257	22705	At4 Wireless, Inc.	0/4	0/3
3258	25371	Innospire Systems Corporation	0/6	-
3259	25371	Realistic Computing, Inc.	2/6	-
3260	25371	Entomo, Inc.	0/5	0/1
3261	25371	Aadhick Solutions Inc	0/6	-
3262	25371	Customer Care Inc.	0/6	-
3263	25371	Genani Llc	2/6	-
3264	25371	Zolon Tech, Inc.	0/6	-
3265	25371	Vidatronic, Inc.	0/6	-
3266	25371	O3 Technology Solutions, Llc	0/6	-
3267	25371	Bullseye Telecom, Inc.	0/5	0/1
3268	25371	Optimal Solutions, Inc.	0/6	-
3269	25371	Connecture, Inc.	1/5	0/1
3270	25371	Techsoup Global	0/6	-
3271	25371	Cyber Consulting, Inc	3/6	-
3272	25371	Critical Resource Technology, Inc.	0/5	0/1
3273	25371	Kas Software Solutions Llc	0/6	-
3274	25371	Viraj Llc	-	6/6
3275	25371	Alberto's Mexican Food	-	4/6
3276	25371	Blur Studio, Inc.	0/4	0/2
3277	25371	Ultramain Systems Incorporated	1/6	-
3278	25371	Mywebgrocer, Inc.	1/6	-
3279	25371	Net Android Corp	1/5	0/1
3280	25371	Ist, Inc.	1/5	0/1
3281	25371	A2z, Inc.	1/6	-
3282	25371	It Elite Inc	1/6	-
3283	25371	Synergic Solutions, Inc.	0/6	-
3284	25371	Fnc, Inc.	0/6	-
3285	25371	Mediaocean	-	0/6
3286	25371	Marucco, Stoddard, Ferenbach & Walsh, Inc.	1/5	0/1
3287	25371	Callisto Integration Inc.	0/6	-
3288	25371	Epay Systems, Inc.	0/5	0/1
3289	25371	Princeton Consultants	0/4	0/2
3290	25371	Cardinal Solutions Group	0/4	1/2
3291	25371	Gameloft, Inc.	2/6	-
3292	25371	Integrated Statistics	1/6	-
3293	25371	Vocado, Llc	0/4	1/2
3294	25371	Srs Teksoft, Inc.	0/5	0/1
3295	25371	Ameresco, Inc.	1/5	1/1
3296	25371	Fusion Objects Corporation	0/5	0/1
3297	25371	Xelleration, Llc	0/3	1/3
3298	25371	Fss Technologies Inc.	0/6	-
3299	25371	Neobytes Llc	0/5	0/1
3300	25371	Sanvista, Inc.	0/6	-
3301	25371	Percussion Software, Inc.	1/4	1/2
3302	25371	Iv Technologies Inc.	0/6	-
3303	25371	Dhansol Software Solutions, Llc	0/6	-
3304	25371	Smartcare, Inc	0/6	-
3305	25371	Cautela Institute Of Informatics And Technology	0/6	-
3306	25371	Digital Map Products, Inc.	1/4	1/2
3307	25371	Phoenix Business Inc.	1/6	-
3308	25371	Enrollment Rx, Llc	2/6	-
3309	25371	Dst Systems, Inc.	0/6	-
3310	25371	Nueva Solutions Inc.	0/6	-
3311	25371	Meridian Knowledge Solutions Llc	0/6	-
3312	25371	Stlport Consulting, Inc.	0/3	0/3
3313	25371	Smartswitch. Llc	0/4	0/2
3314	25371	Simulations Plus, Inc.	0/6	-
3315	25371	Nforce Technologies Llc	0/6	-
3316	25371	Softengine Inc.	0/4	0/2
3317	25371	Drivenbi, Llc	1/5	0/1
3318	25371	Tekplant, Inc.	0/5	0/1
3319	25371	Lantronix	0/5	0/1
3320	25371	Application Consulting Group, Inc.	0/4	0/2
3321	25371	North America Rapid Results Technologies	0/6	-
3322	25371	Network Specialty Group, Inc.	0/6	-
3323	25371	Monitise Americas, Inc.	0/4	0/2
3324	25371	Roam Data, Inc.	0/2	1/4
3325	25371	N & B Team Consulting, Inc.	0/4	0/2
3326	25371	Idyllic Solutions, Llc	0/6	-
3327	25371	R3d Consulting Corp.	0/4	0/2
3328	25371	Rmt Systems Llc	1/5	0/1
3329	25371	Naehas, Inc.	0/6	-
3330	25371	Ef International Academy, Inc.	0/6	-
3331	25371	Tiny Planet Inc	0/5	1/1
3332	25371	Object Data, Inc.	0/6	-
3333	25371	Rockyou, Inc.	0/6	-
3334	25371	Driscoll Strawberry Associates, Inc.	0/1	2/5
3335	25371	Voicebox Technologies, Inc.	0/1	1/5
3336	25371	Foothills Consulting Group, Inc.	0/5	0/1
3337	25371	Mohegan Tribal Gaming Authority Aka Mohegan Sun	0/5	0/1
3338	25371	Rithtech Software Services Llc	0/6	-
3339	25371	E Divya Business Solutions, Inc.	0/6	-
3340	25371	3 Play Networks Inc.	0/4	0/2
3341	25371	Etouches, Inc.	0/4	0/2
3342	25371	Intramart, Inc.	1/4	0/2
3343	25371	Deutsche Boerse Systems, Inc	1/5	0/1
3344	25371	Resonetics, Llc	0/4	0/2
3345	25371	Gallop Solutions, Inc.	0/6	-
3346	25371	Nksm Technologies, Inc.	0/5	0/1
3347	25371	Aaptaa, Inc.	0/6	-
3348	25371	Broadvision Inc.	0/6	-
3349	25371	Solution Technology Systems, Inc.	1/5	0/1
3350	25371	Pas, Inc.	-	0/6
3351	25371	Worldwide Travel Inc.	0/4	0/2
3352	25371	Vishak, Inc.	0/6	-
3353	25371	Fullscope, Inc.	0/4	0/2
3354	25371	Neelinfo, Inc.	0/5	1/1
3355	25371	Jma Information Technology, Inc.	0/5	0/1
3356	25371	Sushi 1, Inc.	2/4	0/2
3357	25371	Noom, Inc.	1/5	0/1
3358	25371	Sennovate, Inc.	0/6	-
3359	25371	Spectrum Systems, Inc.	0/5	0/1
3360	25371	Stratapps, Inc.	0/6	-
3361	25371	Chenosa Systems Corporation	0/6	-
3362	25371	Zycron, Inc.	0/5	0/1
3363	25371	Lodestar Consulting Llc	0/5	1/1
3364	25371	Meganet Solutions Llc	0/6	-
3365	25371	Netsync Network Solutions	0/4	0/2
3366	25371	Vivid Edge Corp.	0/5	0/1
3367	25371	Decca Consulting Llc	0/6	-
3368	25371	Tourico Holidays, Inc.	0/6	-
3369	25371	Infosynergy, Inc.	0/5	0/1
3370	25371	Paragon Solutions, Inc.	0/4	0/2
3371	25371	Rulemeister, Inc.	0/5	0/1
3372	25371	Cynergy Systems, Inc.	0/4	1/2
3373	25371	Speech Soft Solutions Formerly Speech-Soft Llc	0/6	-
3374	25371	Daniels Associates, Inc.	0/5	0/1
3375	25371	The Thalerus Group, Inc.	0/6	-
3376	25371	Great Falls Software Solutions, Inc.	0/6	-
3377	25371	Deltasoft Solutions Llc	1/6	-
3378	25371	Builder Homesite,Inc.	0/6	-
3379	25371	Accellion, Inc.	1/6	-
3380	29073	Rosetta Marketing Group, Llc	0/4	0/1
3381	29073	Universal Robotics, Inc.	0/5	-
3382	29073	H.I.S. International Tours (Ny) Inc.	-	0/5
3383	29073	Luong Enterprises Llc	-	0/5
3384	29073	Phoenix Staff Inc.	0/5	-
3385	29073	Burgiss Inc	0/2	0/3
3386	29073	World Class Work Force, Lp	-	0/5
3387	29073	Datapro, Inc.	-	2/5
3388	29073	Rnr Software Inc	0/5	-
3389	29073	Biztech Solutions Inc.	0/5	-
3390	29073	Softsmile Systems Inc.	0/5	-
3391	29073	Epoch Solutions Group Inc.	0/5	-
3392	29073	The Kohl Group, Inc.	0/5	-
3393	29073	Datamax Software Group Inc	0/5	-
3394	29073	Sepco Group, Inc.	3/5	-
3395	29073	Traittek Llc	0/4	0/1
3396	29073	Logility, Inc.	0/3	1/2
3397	29073	Oakston Technologies	1/2	0/3
3398	29073	Asset Inventories, Inc.	3/5	-
3399	29073	Filmnation Entertainment Llc	0/3	0/2
3400	29073	Apriori Technologies, Inc.	0/4	0/1
3401	29073	Smith Johnson Group, Inc.	0/5	-
3402	29073	Clearstructure Financial Technology, Llc	0/4	0/1
3403	29073	Robertshaw Controls Company	0/4	0/1
3404	29073	Vajraasys Limited	0/4	0/1
3405	29073	Autotask Corporation	0/4	0/1
3406	29073	Cliosoft, Inc.	0/5	-
3407	29073	Scarlet Infotech, Inc. Dba Expedien	1/5	-
3408	29073	Vmr Technologies, Inc.	0/5	-
3409	29073	International Business Solutions, Ltd	0/5	-
3410	29073	Academia, Inc.	1/4	0/1
3411	29073	Gaikai Inc.	0/3	0/2
3412	29073	Adi Strategies, Inc.	0/4	1/1
3413	29073	Pc Specialists, Inc.	0/4	0/1
3414	29073	Mentis Systems, Inc.	0/4	0/1
3415	29073	Id Insight Inc.	0/5	-
3416	29073	Rd Data Solutions, Llc	0/5	-
3417	29073	Kourage, Inc.	0/5	-
3418	29073	Altia Systems, Inc.	0/5	-
3419	29073	Sancrosoft Usa, Inc.	0/5	-
3420	29073	Geddam Solutions And Services Inc.	0/2	1/3
3421	29073	Outcomes Incorporated	0/5	-
3422	29073	Ccm Consulting Services, Inc.	0/5	-
3423	29073	Apex Process Consultants, L.L.C.	0/4	0/1
3424	29073	Lorentz Solution, Inc.	0/5	-
3425	29073	Prov International, Inc.	1/4	1/1
3426	29073	Futura Systems Inc.	0/3	0/2
3427	29073	Avi Technologies Inc	0/4	0/1
3428	29073	V3it Consulting	0/4	1/1
3429	29073	P P Consulting, Llc	1/5	-
3430	29073	Celestix Networks, Inc.	0/5	-
3431	29073	Hansen Technologies North America, Inc.	0/5	-
3432	29073	Maginatics, Inc.	0/1	1/4
3433	29073	Forio Corporation	0/5	-
3434	29073	Crankfrog, Llc	0/5	-
3435	29073	D2s, Inc.	0/5	-
3436	29073	Satyam Computer Services Limited	-	5/5
3437	29073	Datarich Management Systems Ltd	0/3	0/2
3438	29073	Americannurses.Com	0/5	-
3439	29073	Aspire Hr, Inc.	0/3	0/2
3440	29073	Netpro Logic, Inc.	0/4	0/1
3441	29073	Emprise Consulting, Llc	0/5	-
3442	29073	Silvaco, Inc.	0/4	0/1
3443	29073	Avionte, Llc	0/3	0/2
3444	29073	Enterprisedb Corporation	0/4	0/1
3445	29073	Silver Peak Solutions, Inc.	0/5	-
3446	29073	Aditi Technologies Pvt. Ltd.	-	1/5
3447	29073	Bosch Software Innovations Corporation	0/3	0/2
3448	29073	Redbeacon	-	0/5
3449	29073	Lifestreet Corporation	0/2	0/3
3450	29073	Guidance Software, Inc.	0/4	0/1
3451	29073	Garden Suite Hotel & Resorts Inc	-	2/5
3452	29073	Emids Technologies Private Limited Corp	1/4	0/1
3453	29073	Kixeye, Inc.	0/4	0/1
3454	29073	Datavision Inc.	0/5	-
3455	29073	Dataquest, Inc.	0/5	-
3456	29073	Vsee Lab, Inc.	0/4	0/1
3457	29073	Armature Solutions Corporation	0/4	0/1
3458	29073	Source Allies, Inc.	1/5	-
3459	29073	Trusted Mission Solutions Inc	0/5	-
3460	29073	Emsi Engineering, Inc.	0/2	0/3
3461	29073	Database International Group, Inc.	1/5	-
3462	29073	Finite States Inc	0/5	-
3463	29073	Macrosys, Llc	1/4	0/1
3464	29073	Ubics, Inc.	0/5	-
3465	29073	Intellect It, Llc	0/4	0/1
3466	29073	Business Performance Management Northwest, Inc.	0/5	-
3467	29073	Sun Labs Usa, Inc.	0/5	-
3468	29073	Inirus, Llc	0/5	-
3469	29073	Salem Associates, Inc.	0/5	-
3470	29073	Vivos Professional Services, Llc.	0/5	-
3471	29073	Global Technology & Serivces Inc	-	2/5
3472	29073	Bizteon, Inc.	1/5	-
3473	29073	Excellis Consulting Corporation	1/5	-
3474	29073	Wildtangent, Inc.	1/3	1/2
3475	29073	High Impact Technologies, Inc.	0/5	-
3476	29073	Core Providers Llc	0/5	-
3477	29073	Tech Systems Sws, Inc.	0/5	-
3478	29073	Lucent Jewelers Inc.	0/4	1/1
3479	29073	Top Travel, Inc.	0/1	0/4
3480	29073	Fuji Hana Steak & Sushi	-	0/5
3481	29073	Infinite Campus, Inc.	0/4	0/1
3482	29073	Tss Wireless, Inc.	0/4	1/1
3483	29073	Skolix, Llc	0/5	-
3484	29073	Harvard Soft, Inc.	0/5	-
3485	29073	American Well Corporation	0/4	0/1
3486	29073	Astegic, Inc.	2/4	0/1
3487	29073	Tquate Inc.	0/4	0/1
3488	29073	Kunj, Inc.	0/4	0/1
3489	29073	Palpilot International Corporation	0/4	0/1
3490	29073	Devcool	0/5	-
3491	29073	Teleplan Holding Usa, Inc.	1/5	-
3492	29073	Fluid, Inc.	0/5	-
3493	29073	Scubel, Llc.	0/5	-
3494	29073	Beltech, Inc.	0/4	0/1
3495	29073	Systems Plus, Inc.	0/5	-
3496	29073	Folio Dynamics Inc.	0/4	0/1
3497	29073	Intellect Solutions Llc	0/5	-
3498	29073	Digilant, Inc.	0/4	0/1
3499	29073	Agencyq, Inc.	0/4	0/1
3500	29073	Kee-Aree, Llc	2/3	0/2
3501	29073	Sumedha Global Computing	1/5	-
3502	29073	Siltek Corporation	5/5	-
3503	29073	Cybersearch, Ltd.	1/4	1/1
3504	29073	Jba International, Llc	1/4	0/1
3505	29073	Smartdog Services, Llc (Formerly Dcc Services, Llc	1/3	0/2
3506	29073	Robotex, Inc.	0/3	0/2
3507	29073	World-Link Communications, Inc.	1/4	0/1
3508	29073	Aquent Llc	-	0/5
3509	29073	Searce Inc	0/4	0/1
3510	29073	Terra Technology, Llc	0/5	-
3511	29073	Nexlink Systems Inc	0/4	0/1
3512	29073	Dawar Consulting Inc	1/5	-
3513	29073	Claims Services Group, Inc.	-	1/5
3514	29073	Backstop Solutions Group, Llc	0/4	0/1
3515	29073	Catapult Systems, Llc	0/5	-
3516	29073	Sagents Inc	0/5	-
3517	29073	Ecoinsight, Inc.	0/4	0/1
3518	29073	Project Partners, Llc	1/4	0/1
3519	29073	Transzap, Inc.	0/4	0/1
3520	29073	Managed Staffing Inc.	0/5	-
3521	29073	Asentinel, Llc	0/3	0/2
3522	29073	Accruent Llc	0/4	0/1
3523	29073	Satnam Data Systems Inc	0/5	-
3524	29073	Talentlink, Inc	0/4	0/1
3525	29073	Pacific Underwater Observatories, Inc.	-	1/5
3526	29073	Actian Corporation	0/5	-
3527	29073	Pontis Research, Inc.	0/4	0/1
3528	29073	Icad, Inc.	0/5	-
3529	29073	Compliance Technologies International, Llp	0/1	2/4
3530	29073	Better Minds Consulting, Llc	0/5	-
3531	29073	Simplion Technologies, Inc.	1/5	-
3532	29073	Radiqal Llc	0/4	0/1
3533	29073	Long View Systems	0/3	0/2
3534	29073	Relational Security Corporation	0/4	0/1
3535	29073	Infosys International Inc.	0/4	0/1
3536	29073	Nanigans, Inc.	0/2	0/3
3537	29073	Connex Info Systems, Inc	0/4	0/1
3538	29073	Tristar Consultancy Inc	0/5	-
3539	34122	Fidelis Pro Solutions Inc	0/2	2/2
3540	34122	Datazoomers Inc	0/3	0/1
3541	34122	Promag Systems, Inc	0/4	-
3542	34122	Integrated Computer Solutions, Inc.	0/4	-
3543	34122	Fsv Payment Systems, Inc.	0/2	1/2
3544	34122	T&L Hospitality Inc	1/3	0/1
3545	34122	Metrostar Systems, Inc.	0/3	0/1
3546	34122	Fishbowl, Inc.	0/3	0/1
3547	34122	Temple Systems Llc	0/4	-
3548	34122	Aarki, Inc.	1/2	0/2
3549	34122	Compass Solutions, Llc	1/4	-
3550	34122	Amber Precision Instruments, Inc	0/4	-
3551	34122	Autoalert, Inc.	0/4	-
3552	34122	Jinfonet Software Inc	1/4	-
3553	34122	Netxperts, Inc.	0/3	0/1
3554	34122	Jarus Technologies, Inc.	0/4	-
3555	34122	Idx, Llc	0/3	0/1
3556	34122	Stockell Information Systems, Inc.	0/4	-
3557	34122	Wideorbit Inc.	0/4	-
3558	34122	Sofia Technology, Llc	1/4	-
3559	34122	Alpine Analytics, Inc.	2/3	0/1
3560	34122	R.O.I. Consulting Solutions, Inc	0/1	1/3
3561	34122	Viraj Consulting	0/4	-
3562	34122	Turing Systems Inc	1/4	-
3563	34122	Osprey Software & Systems, Inc.	-	0/4
3564	34122	Miami Sunny, Inc.	0/2	1/2
3565	34122	Thai Maker Llc Dba/ My Thai Place Restaurant	-	0/4
3566	34122	Versa Shore, Inc.	0/4	-
3567	34122	Triplay Inc.	0/3	0/1
3568	34122	Thekla, Inc.	0/3	0/1
3569	34122	Siddhi Systems, Inc.	0/4	-
3570	34122	Kikuhisa Corp Dba Anjin	-	1/4
3571	34122	Utc Associates Inc.	0/4	-
3572	34122	Astron Consulting Llc	0/4	-
3573	34122	The Goldensource Corporation	0/3	1/1
3574	34122	South Florida Lodging, Llc	0/1	0/3
3575	34122	Tech Allies Consulting	1/4	-
3576	34122	Dibon Solutions Inc	1/4	-
3577	34122	Landry's Management, L.P.	0/3	0/1
3578	34122	Pitss America Llc	0/3	1/1
3579	34122	Clustrix, Inc.	0/3	0/1
3580	34122	Workspot, Inc.	0/3	0/1
3581	34122	Technitia, Inc.	1/4	-
3582	34122	Ascend Software, Inc.	0/4	-
3583	34122	Middlelink Technologies Llc	1/4	-
3584	34122	Globalsource Information Technology, Inc.	0/4	-
3585	34122	Assure E Services Inc	0/4	-
3586	34122	Nexxus Technologies Inc.	0/4	-
3587	34122	Technijian Inc.	1/4	-
3588	34122	Argo Se, Inc.	0/2	0/2
3589	34122	Elite Infosystems, Inc	0/4	-
3590	34122	Infotech Enterprises America, Inc.	0/3	0/1
3591	34122	Oneneck It Services Corporation	0/4	-
3592	34122	Swinsoft, Inc.	0/4	-
3593	34122	Open Solutions, Llc	1/4	-
3594	34122	Myers Holum, Inc.	0/4	-
3595	34122	Nextivity, Inc.	0/4	-
3596	34122	Blue Star Infotech America, Inc	3/4	-
3597	34122	Melillo Consulting, Inc.	0/3	0/1
3598	34122	Neutron, Inc.	0/3	0/1
3599	34122	Worldlink, Inc.	2/4	-
3600	34122	Nimbus Consulting Llc	0/4	-
3601	34122	E-Line Technologies, Inc.	0/4	-
3602	34122	Atsec Information Security Corp.	0/3	0/1
3603	34122	Mdm Hotel Group Ltd/Miami Dadeland Marriott Hotel	0/2	0/2
3604	34122	Donahue Consulting Llc	0/3	0/1
3605	34122	M2s, Inc.	0/4	-
3606	34122	Hr Link Group, Inc.	0/4	-
3607	34122	Cybervision Inc	2/4	-
3608	34122	Autotec, Llc	2/4	-
3609	34122	Infotech Global, Inc.	0/3	0/1
3610	34122	Backbase U.S.A. Inc.	1/4	-
3611	34122	Mercom Group, Llc	1/4	-
3612	34122	Vm Strategies, Llc	0/4	-
3613	34122	Say Media, Inc.	0/2	0/2
3614	34122	Bocavox, Llc	1/4	-
3615	34122	Sath Technologies Inc.	1/4	-
3616	34122	Strategic It Solutions, Inc.	0/4	-
3617	34122	Kms Technology, Inc.	0/1	0/3
3618	34122	Kabuki Restaurants,Inc.	-	1/4
3619	34122	Tammina Solutions Llc	0/4	-
3620	34122	Oneshield, Inc.	0/4	-
3621	34122	Infosol Inc.	0/3	0/1
3622	34122	Searchforce, Inc.	0/3	0/1
3623	34122	Application Development Corp	0/4	-
3624	34122	Bitsofcode Software Systems, Inc.	0/2	1/2
3625	34122	Guadalupe Valley Telephone Cooperative	0/4	-
3626	34122	Atria Logic, Inc.	0/2	1/2
3627	34122	Computer Services, Inc.	0/3	0/1
3628	34122	Everest Solutions Group, Inc.	0/2	0/2
3629	34122	Mhill Consulting Llc	0/4	-
3630	34122	Trigent Software Inc.	0/4	-
3631	34122	Cashedge Inc.	0/4	-
3632	34122	Mangione, Inc.	0/2	0/2
3633	34122	Innovative Systems Group Of Florida, Inc.	0/4	-
3634	34122	Envision Financial Systems, Inc.	0/4	-
3635	34122	Techoptimus, Inc.	0/3	0/1
3636	34122	Yodle, Inc.	0/4	-
3637	34122	Fast Dolphin, Inc.	0/2	0/2
3638	34122	Metamarkets Group, Inc.	0/3	0/1
3639	34122	Grand Central Networks, Inc.	0/3	0/1
3640	34122	Parasoft, Inc.	0/4	-
3641	34122	Appway, Inc.	0/4	-
3642	34122	Bt Americas Inc.	0/2	0/2
3643	34122	Daugherty Systems, Inc.	0/4	-
3644	34122	Genesis Business Solutions, Inc.	0/3	0/1
3645	34122	Rk Technical Services, Inc	1/4	-
3646	34122	Cayzen Technologies	0/4	-
3647	34122	Boyle Software, Inc.	0/4	-
3648	34122	Daon, Inc	0/4	-
3649	34122	Support.Com, Inc.	0/3	0/1
3650	34122	Fattail, Inc.	0/3	0/1
3651	34122	Microautomation, Inc.	0/3	0/1
3652	34122	Jetbrains Inc.	0/1	0/3
3653	34122	Esac Inc	0/3	0/1
3654	34122	Icontrol Networks, Inc.	1/3	1/1
3655	34122	Act Consulting	0/3	1/1
3656	34122	Trium Corporation	1/4	-
3657	34122	Arvato Systems Na,Inc.	0/2	0/2
3658	34122	T-Systems North America, Inc.	1/4	-
3659	34122	Key Software Solutions, Inc.	2/4	-
3660	34122	Genband Us Llc	0/2	0/2
3661	34122	Silkroad Technology Inc	0/4	-
3662	34122	Sandil Consulting Llc	1/4	-
3663	34122	Aaeon Electronics, Inc.	0/3	0/1
3664	34122	Logan Productions, Inc.	0/4	-
3665	34122	Dakota Systems, Inc.	0/3	0/1
3666	34122	Kuberre Systems, Inc.	0/3	0/1
3667	34122	Fdg Consulting Firm Inc.	0/4	-
3668	34122	Kum Gang, Inc.	-	2/4
3669	34122	Comtek International, Inc.	0/4	-
3670	34122	4 Best Business Corp.	0/1	0/3
3671	34122	Ambonare Incorporated	0/4	-
3672	34122	Sling Media, Inc.	0/1	0/3
3673	34122	Electronic Knowledge Interchange Company	0/3	0/1
3674	34122	Rmantra Solutions Inc.	0/3	0/1
3675	34122	Pixel Systems Inc	0/4	-
3676	34122	Cwc Travel, Inc.	0/3	1/1
3677	34122	Ifs North America, Inc.	0/3	0/1
3678	34122	Yantrasoft Inc.	0/3	0/1
3679	34122	Netlims Nj Llc	0/2	1/2
3680	34122	Columbus Networks Usa, Inc.	0/3	0/1
3681	34122	Educational Networks, Inc.	0/4	-
3682	34122	Annuk Incorporated	0/3	1/1
3683	34122	Kaneko Enterprises,Inc.	-	0/4
3684	34122	Diebold, Incorporated	0/3	0/1
3685	34122	Orion Systems, Inc.	0/2	0/2
3686	34122	Samuraiinfotech	-	0/4
3687	34122	E - Infotek Solutions, Inc.	0/3	0/1
3688	34122	Global Infonet Inc.	1/4	-
3689	34122	Atoptech, Inc.	1/3	0/1
3690	34122	Wok' N Grill Rest	-	1/4
3691	34122	Airpoints, Inc.	0/3	0/1
3692	34122	Technosmarts, Inc.	0/4	-
3693	34122	Matrix Technologies, Inc.	0/3	0/1
3694	34122	Sts International, Inc.	2/4	-
3695	34122	Cardinal Technology Solutions Llc	0/4	-
3696	34122	Raintree Systems, Inc	0/3	0/1
3697	34122	Aria Consulting Services Llc	1/4	-
3698	34122	Universal Infotech, Inc.	0/3	0/1
3699	34122	Me-Interactive Llc	1/3	0/1
3700	34122	Kms Service Inc.	0/2	0/2
3701	34122	Serazen,Llc	1/3	0/1
3702	34122	Emtec, Inc.	0/1	2/3
3703	34122	Fahrenheit It	0/3	0/1
3704	34122	Ecifm Solutions, Inc.	0/2	1/2
3705	34122	Pci-Media Impact, Inc	0/3	0/1
3706	34122	Insurance Data Processing, Inc.	0/4	-
3707	34122	Relevant Ads, Inc.	0/2	0/2
3708	34122	Bamm Inc.	0/3	0/1
3709	34122	Charles Bros., Inc Iii	0/3	0/1
3710	34122	Glomark International, Llc	0/3	1/1
3711	34122	Rv Information Technology Inc.	0/4	-
3712	34122	The Olama Corporation	-	0/4
3713	34122	Micronotes Inc.	0/2	0/2
3714	34122	Telesys Software, Inc.	0/3	0/1
3715	34122	M-Files Inc.	0/4	-
3716	34122	New Generation Computing, Inc.	0/4	-
3717	34122	Dst Brokerage Solutions, Llc	0/4	-
3718	42364	Sanama, Llc. Dba Best Western Westminster Inn	-	0/3
3719	42364	Elephant Bytes Inc	0/3	-
3720	42364	Ifactor Consulting, Inc.	0/1	0/2
3721	42364	Hornet Animation Inc.	0/2	0/1
3722	42364	Camo Technologies, Inc	-	3/3
3723	42364	Assaggi Osteria Llc	-	1/3
3724	42364	Owen Software Development Company Limited	0/3	-
3725	42364	Sushi Yasuda Ltd.	-	0/3
3726	42364	Image Metrics, Inc.	0/2	0/1
3727	42364	Tranzxn, Inc.	1/3	-
3728	42364	Beam4d Enterprises, Llc	0/3	-
3729	42364	Smallplanet Digital, Llc	0/3	-
3730	42364	Kddi Global L.L.C.	0/2	0/1
3731	42364	Pro Softnet Corporation	-	0/3
3732	42364	Techaffinity Inc	0/3	-
3733	42364	Vertex Soft, Inc.	0/3	-
3734	42364	Shanghai Garden Of Sacramento 888, Inc.	-	0/3
3735	42364	Mmtech, Inc.	0/3	-
3736	42364	Vigor Systems, Inc.	0/2	0/1
3737	42364	Rolta International, Inc.	0/2	0/1
3738	42364	Business Resources Ltd	0/3	-
3739	42364	Return Path, Inc.	0/3	-
3740	42364	Pinnacle Consulting Llc	0/3	-
3741	42364	Alexcon Corp	-	0/3
3742	42364	Bijal Corporation	0/3	-
3743	42364	Ping Identity Corporation	0/2	0/1
3744	42364	Access Development Corporation (Vg Llc)	0/3	-
3745	42364	Sazze, Inc.	0/2	0/1
3746	42364	Gwynn Group, Inc.	0/2	0/1
3747	42364	Itas Inc	1/3	-
3748	42364	Total Tennis Saugerties Ny Llc	0/3	-
3749	42364	Vinpower, Inc.	0/1	1/2
3750	42364	The 41st Parameter, Inc.	0/3	-
3751	42364	Pmc Outsourcing Inc.	0/2	0/1
3752	42364	Celltrust Corporation	0/2	0/1
3753	42364	Apple Corporation D/B/A Canton Palace	-	0/3
3754	42364	Favis Usa, Inc.	0/1	0/2
3755	42364	Raawee Inc.	0/3	-
3756	42364	Peet's Coffee & Tea	-	0/3
3757	42364	Alta Via Consulting, Llc	0/1	1/2
3758	42364	Cyberdata Technologies, Inc.	0/2	0/1
3759	42364	Data Computer Corporation Of America	0/2	1/1
3760	42364	Compusearch Software Systems, Inc.	0/2	0/1
3761	42364	Timetrade Systems, Inc.	1/3	-
3762	42364	Comnet (Usa) Llc	0/3	-
3763	42364	Sai Business Solutions Llc, Dba Sbs Corp	-	0/3
3764	42364	Mediware Software Corporation	0/3	-
3765	42364	Midcontinent Communications	0/3	-
3766	42364	Plda, Inc.	0/2	0/1
3767	42364	Mednet Solutions, Inc.	0/3	-
3768	42364	White Wings Consulting Llc	0/2	0/1
3769	42364	Inteliops, Inc.	0/2	0/1
3770	42364	Integrated Communications & Technologies, Inc.	-	0/3
3771	42364	Lattice Group, Inc.	0/2	1/1
3772	42364	Candelis, Inc.	0/3	-
3773	42364	Qed Inc.	0/2	0/1
3774	42364	Needa Technologies, Inc.	0/3	-
3775	42364	Grapecity, Inc.	1/3	-
3776	42364	Ssinfotek Inc.	1/3	-
